"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","cloud_counter_on_start*","co2_counter_on_start*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","3.4000000000000004","0","0","100","""-1090850669""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","2","500","3.4000000000000004","0","0","100","""1884603379""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","3","500","3.4000000000000004","0","0","100","""1369091160""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","4","500","3.4000000000000004","0","0","100","""159817603""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","5","500","3.4000000000000004","0","0","100","""700285130""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","6","500","3.4000000000000004","0","0","100","""-408499969""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","7","500","3.4000000000000004","0","0","100","""906219803""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","8","500","3.4000000000000004","0","0","100","""-1025072879""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","9","500","3.4000000000000004","0","0","100","""1827216505""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","10","500","3.4000000000000004","0","0","100","""794140154""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","11","500","2.4000000000000004","0.05","20","100","""-794896895""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","12","500","2.4000000000000004","0.05","20","100","""338609969""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","13","500","2.4000000000000004","0.05","20","100","""102267693""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","14","500","2.4000000000000004","0.05","20","100","""549708845""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","15","500","2.4000000000000004","0.05","20","100","""-260324613""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","16","500","2.4000000000000004","0.05","20","100","""-2039463620""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","17","500","2.4000000000000004","0.05","20","100","""-1819246540""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","18","500","2.4000000000000004","0.05","20","100","""-1101941413""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","19","500","2.4000000000000004","0.05","20","100","""-1115516040""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","20","500","2.4000000000000004","0.05","20","100","""1629158602""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","21","500","0.8","0.35000000000000003","19","0","""14834188""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","22","500","0.8","0.35000000000000003","19","0","""-1020497466""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","23","500","0.8","0.35000000000000003","19","0","""-153389596""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","24","500","0.8","0.35000000000000003","19","0","""1465426865""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","25","500","0.8","0.35000000000000003","19","0","""-1165151726""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","26","500","0.8","0.35000000000000003","19","0","""509545683""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","27","500","0.8","0.35000000000000003","19","0","""-661285809""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","28","500","0.8","0.35000000000000003","19","0","""626761819""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","29","500","0.8","0.35000000000000003","19","0","""-906004362""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","30","500","0.8","0.35000000000000003","19","0","""2067579702""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","31","500","2.4000000000000004","0.25","10","100","""1384093136""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","32","500","2.4000000000000004","0.25","10","100","""-1738681906""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","33","500","2.4000000000000004","0.25","10","100","""2107323451""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","34","500","2.4000000000000004","0.25","10","100","""1361598331""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","35","500","2.4000000000000004","0.25","10","100","""-921407348""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","36","500","2.4000000000000004","0.25","10","100","""-1069944604""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","37","500","2.4000000000000004","0.25","10","100","""263468101""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","38","500","2.4000000000000004","0.25","10","100","""-1958626813""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","39","500","2.4000000000000004","0.25","10","100","""-460913391""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","40","500","2.4000000000000004","0.25","10","100","""-106493994""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","41","500","5","0.15000000000000002","4","200","""-1730767911""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","42","500","5","0.15000000000000002","4","200","""449737833""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","43","500","5","0.15000000000000002","4","200","""1569895053""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","44","500","5","0.15000000000000002","4","200","""1370549746""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","45","500","5","0.15000000000000002","4","200","""1593193601""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","46","500","5","0.15000000000000002","4","200","""-2039340960""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","47","500","5","0.15000000000000002","4","200","""-1277811217""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","48","500","5","0.15000000000000002","4","200","""1291646502""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","49","500","5","0.15000000000000002","4","200","""-334644998""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","50","500","5","0.15000000000000002","4","200","""-1721330008""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","51","500","2","0.9500000000000001","1","0","""627003304""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","52","500","2","0.9500000000000001","1","0","""-2082173912""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","53","500","2","0.9500000000000001","1","0","""-993531325""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","54","500","2","0.9500000000000001","1","0","""-18524427""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","55","500","2","0.9500000000000001","1","0","""-2099015805""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","56","500","2","0.9500000000000001","1","0","""1240922243""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","57","500","2","0.9500000000000001","1","0","""254477499""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","58","500","2","0.9500000000000001","1","0","""1781092200""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","59","500","2","0.9500000000000001","1","0","""308675635""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","60","500","2","0.9500000000000001","1","0","""-36416181""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","61","500","4.4","0.6000000000000001","7","0","""754210201""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","62","500","4.4","0.6000000000000001","7","0","""1076065817""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","63","500","4.4","0.6000000000000001","7","0","""-946783467""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","64","500","4.4","0.6000000000000001","7","0","""-389005434""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","65","500","4.4","0.6000000000000001","7","0","""-765021499""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","66","500","4.4","0.6000000000000001","7","0","""1976188842""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","67","500","4.4","0.6000000000000001","7","0","""-1467746021""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","68","500","4.4","0.6000000000000001","7","0","""-1795650618""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","69","500","4.4","0.6000000000000001","7","0","""737873113""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","70","500","4.4","0.6000000000000001","7","0","""1733933991""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","71","500","0.8","0.5","8","150","""1867825364""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","72","500","0.8","0.5","8","150","""768127070""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","73","500","0.8","0.5","8","150","""169200763""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","74","500","0.8","0.5","8","150","""754175097""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","75","500","0.8","0.5","8","150","""1724302729""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","76","500","0.8","0.5","8","150","""-1123984505""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","77","500","0.8","0.5","8","150","""607741842""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","78","500","0.8","0.5","8","150","""-1887039573""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","79","500","0.8","0.5","8","150","""-465792514""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","80","500","0.8","0.5","8","150","""1270039467""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
